text,emotion
I feel so happy today,Happy
This is the best day of my life,Happy
I'm really excited about this,Happy
Everything is going great,Happy
I love this so much,Happy
I feel sad and lonely,Sad
This makes me want to cry,Sad
I'm feeling down today,Sad
I miss my friends,Sad
This is really depressing,Sad
I'm feeling anxious about the future,Anxiety
I'm worried about what will happen,Anxiety
I can't stop thinking about my problems,Anxiety
I feel nervous and uneasy,Anxiety
My heart is racing with worry,Anxiety
I'm so angry right now,Angry
This makes me furious,Angry
I can't believe they did that,Angry
I'm really mad about this,Angry
This is so unfair,Angry
I feel neutral about this,Neutral
It's just an average day,Neutral
Nothing special happening,Neutral
I don't feel strongly either way,Neutral
Just a normal day,Neutral
I'm so stressed out,Stressed
I have too much to do,Stressed
I'm overwhelmed with work,Stressed
The pressure is too much,Stressed
I can't handle all this stress,Stressed
I'm feeling great today,Happy
What a wonderful surprise,Happy
I'm so grateful for this,Happy
This brings me joy,Happy
I'm on cloud nine,Happy
I feel hopeless,Sad
Everything is going wrong,Sad
I feel like giving up,Sad
This is heartbreaking,Sad
I feel empty inside,Sad
I'm panicking about this,Anxiety
I have a bad feeling about this,Anxiety
I'm scared of what might happen,Anxiety
I can't calm down,Anxiety
I'm trembling with fear,Anxiety
This makes my blood boil,Angry
I'm outraged by this,Angry
How dare they do that,Angry
I'm fuming right now,Angry
This is unacceptable,Angry
I'm feeling okay,Neutral
Nothing too exciting,Neutral
Just going with the flow,Neutral
It's alright,Neutral
No strong feelings,Neutral
I'm drowning in responsibilities,Stressed
I can't cope with this pressure,Stressed
I'm burning out,Stressed
Too many deadlines,Stressed
I need a break from all this,Stressed
